record_id,old_model_id,current_model_id,mapping_status,supporting_primary_routes,mean_route_score,old_split_degree,current_merge_degree,old_route_count,current_route_count,old_model_name,current_model_name,name_similarity
july_update_2026-07-06__rec_000050,model_a493b5670a18,model_a493b5670a18,stable_id,2,0.898718,1,1,2,2,Qwen3-1.7B and Qwen3-4B-Thinking,Qwen3-1.7B and Qwen3-4B-Thinking,1.0
july_update_2026-07-06__rec_000050,model_ab432decc9aa,model_ab432decc9aa,stable_id,2,0.879996,1,1,2,2,"Qwen3-1.7B, Qwen3-4B, and Gemma 4 E2B","Qwen3-1.7B, Qwen3-4B, and Gemma 4 E2B",1.0
july_update_2026-07-06__rec_000050,model_ac7794e51425,model_ac7794e51425,stable_id,1,0.911561,1,1,1,2,Qwen3-1.7B,Qwen3-1.7B,1.0
july_update_2026-07-06__rec_000050,model_b8eba3c26c46,model_b8eba3c26c46,stable_id,3,0.881937,1,1,3,3,Qwen3-1.7B and Qwen3-4B,Qwen3-1.7B and Qwen3-4B,1.0
july_update_2026-07-06__rec_000060,model_8b27781d1156,model_8b27781d1156,stable_id,3,0.703328,1,1,6,15,CellTosg2Sequence,CellTosg2Sequence,1.0
june_update_2026-06-10__rec_000121,model_4ba985125332,model_4ba985125332,stable_id,1,0.962609,1,1,1,1,replaceable LLM backend,replaceable LLM backend,1.0
june_update_2026-06-10__rec_000121,model_7ccbcc7f850b,model_7ccbcc7f850b,stable_id,6,0.987524,1,1,6,6,RVQ-Alpha,RVQ-Alpha,1.0
june_update_2026-06-10__rec_000133,model_69a439438d24,model_69a439438d24,stable_id,9,0.766702,1,1,11,11,GenNA,GenNA,1.0
june_update_2026-06-10__rec_000148,model_f67272a54ac0,model_f67272a54ac0,stable_id,9,0.757838,1,1,19,11,SciCore-Omics,SciCore-Omics,1.0
june_update_2026-06-10__rec_000152,,model_5588f179e503,current_only_unmapped,0,,,,0,1,,in-house DINO-V2-based histopathology FM,
june_update_2026-06-10__rec_000152,model_3827a28edefc,model_3827a28edefc,stable_id,4,0.761906,1,1,7,5,H2O,H2O,1.0
june_update_2026-06-10__rec_000152,model_3e4cf567459d,,old_only_unmapped,0,,,,1,0,H2O-ccRCC,,
june_update_2026-06-10__rec_000152,model_498b709f811c,model_498b709f811c,stable_id,1,0.76437,1,1,1,1,scGPT-FT,scGPT-FT,1.0
june_update_2026-06-10__rec_000152,model_78997404a0ba,,old_only_unmapped,0,,,,1,0,H2O-PRAD,,
june_update_2026-06-10__rec_000194,model_699b7d92d927,model_699b7d92d927,stable_id,3,0.741795,1,1,4,6,Bio-BLIP,Bio-BLIP,1.0
june_update_2026-06-10__rec_000194,model_e113b973b85a,,old_only_unmapped,0,,,,1,0,AlphaGenome,,
june_update_2026-06-10__rec_000246,model_064ca265f9bb,model_064ca265f9bb,stable_id,3,0.718084,1,1,5,8,OmicsLM,OmicsLM,1.0
june_update_2026-06-10__rec_000248,model_35105bbde921,model_285e25ae2bfb,route_supported_mapping,1,0.744695,2,2,2,2,Cell2Text-Gemma-4B,Cell2Text,0.666667
june_update_2026-06-10__rec_000248,model_35105bbde921,model_35105bbde921,stable_id,0,,2,1,2,1,Cell2Text-Gemma-4B,Cell2Text-Gemma-4B,1.0
june_update_2026-06-10__rec_000248,model_99366b543213,model_99366b543213,stable_id,0,,1,1,2,1,Cell2Text-Llama-1B,Cell2Text-Llama-1B,1.0
june_update_2026-06-10__rec_000248,model_9c283f71363e,model_9c283f71363e,stable_id,0,,1,1,2,1,Cell2Text-Llama-1B-LoRa,Cell2Text-Llama-1B-LoRA,1.0
june_update_2026-06-10__rec_000350,model_74e685d85fa8,model_74e685d85fa8,stable_id,15,0.723288,1,2,15,18,OmniGene-4,OmniGene-4,1.0
june_update_2026-06-10__rec_000350,model_fa039bd90d50,model_74e685d85fa8,route_supported_mapping,3,0.742387,2,2,3,18,OmniGene-4 v3,OmniGene-4,0.869565
june_update_2026-06-10__rec_000350,model_fa039bd90d50,model_fa039bd90d50,stable_id,0,,2,1,3,5,OmniGene-4 v3,OmniGene-4 v3,1.0
